"","player_name","new_club","price_pounds","new_league"
"425","Pierre Lees-Melou","Nice","1760000","Ligue 1"
"426","Marvin Martin","Lille"," ","Ligue 1"
"427","Diego Benaglio","Monaco"," ","Ligue 1"
"428","Steven Fortes","Toulouse"," ","Ligue 1"
"429","Kenny Lala","Strasbourg"," ","Ligue 1"
"430","Pablo Martinez","Strasbourg"," ","Ligue 1"
"431","Faitout Maouassa","Rennes","6150000","Ligue 1"
"432","Hamari Traoré","Rennes","1750000","Ligue 1"
"433","Benjamin Bourigeaud","Rennes","2640000","Ligue 1"
"434","Adrien Tameze","Nice","700000","Ligue 1"
"435","Ruben Aguilar","Montpellier"," ","Ligue 1"
"436","Jordi Mboula","Monaco","2600000","Ligue 1"
"437","Soualiho Meïté","Monaco","7000000","Ligue 1"
"438","Jordy Gaspar","Monaco"," ","Ligue 1"
"439","Brighton Labeau","Amiens"," ","Ligue 1"
"440","Nicolas Pépé","Lille","8800000","Ligue 1"
"441","Pedro Rebocho","Guingamp","480000","Ligue 1"
"442","Lebogang Phiri","Guingamp","0","Ligue 1"
"443","Fernando Marçal","Lyon","3900000","Ligue 1"
"444","Mathieu Bodmer","Amiens"," ","Ligue 1"
"445","Luiz Araujo","Lille","8800000","Ligue 1"
"446","Baptiste Guillaume","Angers","1750000","Ligue 1"
"447","Stef Peeters","Caen","1300000","Ligue 1"
"448","Felix Eboa Eboa","Guingamp"," ","Ligue 1"
"449","Hervé Koffi","Lille"," ","Ligue 1"
"450","Rony Lopes","Monaco"," ","Ligue 1"
"451","Zinédine Machach","Toulouse"," ","Ligue 1"
"452","Moussa Niakhaté","Metz","440000","Ligue 1"
"453","Ibrahima Niane","Metz"," ","Ligue 1"
"454","Mathieu Deplagne","Troyes"," ","Ligue 1"
"455","Yacouba Sylla","Rennes"," ","Ligue 1"
"456","Aldo Kalulu","Lyon"," ","Ligue 1"
"457","Baptiste Guillaume","Lille"," ","Ligue 1"
"458","Odsonne Edouard","Paris Saint-Germain"," ","Ligue 1"
"459","Abdoul Camara","Guingamp"," ","Ligue 1"
"460","Oswaldo Vizcarrondo","Troyes"," ","Ligue 1"
"461","Valère Germain","Marseille","7000000","Ligue 1"
"462","Alexandre Mendy","Bordeaux","510000","Ligue 1"
"463","Bryan Pelé","Troyes"," ","Ligue 1"
"464","Bertrand Traoré","Lyon","8800000","Ligue 1"
"465","Enzo Crivelli","Angers","3500000","Ligue 1"
"466","Franck Tabanou","Guingamp"," ","Ligue 1"
"467","Gabriel","Troyes"," ","Ligue 1"
"468","Adama Mbengue","Caen"," ","Ligue 1"
"469","Jean-Christophe Bouet","Amiens"," ","Ligue 1"
"470","Benjamin Lecomte","Montpellier"," ","Ligue 1"
"471","Jonathan Bamba","Saint-Etienne"," ","Ligue 1"
"472","Cédric Yambéré","Dijon"," ","Ligue 1"
"473","Marc-Aurèle Caillard","Guingamp"," ","Ligue 1"
"474","Youssouf Sabaly","Bordeaux","3500000","Ligue 1"
